Treatment,siRNA,IFNB1_L32,HA_L32,Mx1_L32
uninfected,NTC,-14.71,-16.8,-10.0983470282972
uninfected,NTC,-13.58,-15.36,-6.36942806756766
uninfected,NTC,-14.62,-16.86,-9.24218630510477
uninfected,NELFB,-14.1,-16.1,-9.34686433348627
uninfected,NELFB,-12.87,-15.97,-10.3940561766092
uninfected,NELFB,-14.47,-17.29,-10.9833633863644
NS1mut,NTC,-3.33,3.26,-1.5371391235387
NS1mut,NTC,-4.39,2.82,-1.554757090067
NS1mut,NTC,-0.99,4.75,-0.347177959828468
NS1mut,NELFB,1.14,6.8,-1.55691795900447
NS1mut,NELFB,0.58,6.98,-0.598106293928165
NS1mut,NELFB,0.35,6.78,-1.05085983963937
wt,NTC,-8.86,6.37,-7.52533901787387
wt,NTC,-7.52,7,-4.8466579031202
wt,NTC,-8.53,6.21,-6.91105464789696
wt,NELFB,-6.52,8.74,-4.27479194223333
wt,NELFB,-6.52,9.3,-4.18690382493437
wt,NELFB,-6.2,9.29,-3.9319259527365
pIC,NTC,1.91,-16.25,-1.61319962660237
pIC,NTC,1.87,-15.96,-1.58695191010627
pIC,NTC,2.12,-16.15,-0.986857773647237
pIC,NELFB,1.86,-14.35,-0.68500583469114
pIC,NELFB,2.04,-15.23,-1.39496481951517
pIC,NELFB,2.49,-15.47,-0.863436436343431