Target,Treatment,siRNA,Replicate,HA_L32,IFNB1_L32,NELFB_L32
NELFB,NS1mut,NTC,1,26.99830749,0.000294517,0.201775839841006
NELFB,NS1mut,NTC,2,17.97975883,0.000140668,0.216138093157078
NELFB,NS1mut,NTC,3,23.6649747,0.00025757,0.247248612263739
NELFB,NS1mut,NELFB,1,179.6454468,0.006726055,0.029773226696521
NELFB,NS1mut,NELFB,2,113.7661154,0.002699383,0.0289102399068764
NELFB,NS1mut,NELFB,3,135.6684407,0.003155702,0.033971538395763
NELFB,poly(I:C),NTC,1,2.47946E-05,0.016567718,0.253077334264551
NELFB,poly(I:C),NTC,2,2.76287E-05,0.022263812,0.269880306550944
NELFB,poly(I:C),NTC,3,1.6936E-05,0.012897205,0.241907116077705
NELFB,poly(I:C),NELFB,1,2.20896E-05,0.006989888,0.0300346522165458
NELFB,poly(I:C),NELFB,2,3.32063E-05,0.006543527,0.0311499888957056
NELFB,poly(I:C),NELFB,3,7.82381E-05,0.007547754,0.0316405772128132